GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06059052421,6059052421,"Census Tract 524.21, Orange County, California",6.2
1400000US06059052422,6059052422,"Census Tract 524.22, Orange County, California",3.7
1400000US06059052423,6059052423,"Census Tract 524.23, Orange County, California",16.7
1400000US06059052424,6059052424,"Census Tract 524.24, Orange County, California",6.1
1400000US06059052425,6059052425,"Census Tract 524.25, Orange County, California",11.7
1400000US06059052426,6059052426,"Census Tract 524.26, Orange County, California",6.1
1400000US06059052427,6059052427,"Census Tract 524.27, Orange County, California",0.9
1400000US06059052428,6059052428,"Census Tract 524.28, Orange County, California",2.1
1400000US06059052502,6059052502,"Census Tract 525.02, Orange County, California",6.3
1400000US06059052505,6059052505,"Census Tract 525.05, Orange County, California",10.6
1400000US06059052506,6059052506,"Census Tract 525.06, Orange County, California",5.6
1400000US06059052511,6059052511,"Census Tract 525.11, Orange County, California",6.2
1400000US06059052513,6059052513,"Census Tract 525.13, Orange County, California",12.1
1400000US06059052514,6059052514,"Census Tract 525.14, Orange County, California",8.9
1400000US06059052515,6059052515,"Census Tract 525.15, Orange County, California",12.7
1400000US06059052517,6059052517,"Census Tract 525.17, Orange County, California",9.2
1400000US06059052518,6059052518,"Census Tract 525.18, Orange County, California",11.3
1400000US06059052519,6059052519,"Census Tract 525.19, Orange County, California",10.8
1400000US06059052520,6059052520,"Census Tract 525.20, Orange County, California",9.6
1400000US06059052521,6059052521,"Census Tract 525.21, Orange County, California",15.6
1400000US06059052522,6059052522,"Census Tract 525.22, Orange County, California",9.8
1400000US06059052523,6059052523,"Census Tract 525.23, Orange County, California",12.6
1400000US06059052524,6059052524,"Census Tract 525.24, Orange County, California",9.4
1400000US06059052525,6059052525,"Census Tract 525.25, Orange County, California",9.7
1400000US06059052526,6059052526,"Census Tract 525.26, Orange County, California",5.8
1400000US06059052527,6059052527,"Census Tract 525.27, Orange County, California",8.5
1400000US06059052528,6059052528,"Census Tract 525.28, Orange County, California",6.7
1400000US06059062604,6059062604,"Census Tract 626.04, Orange County, California",3.3
1400000US06059062605,6059062605,"Census Tract 626.05, Orange County, California",10.6
1400000US06059062610,6059062610,"Census Tract 626.10, Orange County, California",21
1400000US06059062611,6059062611,"Census Tract 626.11, Orange County, California",34.7
1400000US06059062612,6059062612,"Census Tract 626.12, Orange County, California",13.7
1400000US06059062614,6059062614,"Census Tract 626.14, Orange County, California",44.7
1400000US06059062619,6059062619,"Census Tract 626.19, Orange County, California",7.3
1400000US06059062620,6059062620,"Census Tract 626.20, Orange County, California",4.6
1400000US06059062621,6059062621,"Census Tract 626.21, Orange County, California",10.5
1400000US06059062622,6059062622,"Census Tract 626.22, Orange County, California",14.5
1400000US06059062625,6059062625,"Census Tract 626.25, Orange County, California",17.9
1400000US06059062626,6059062626,"Census Tract 626.26, Orange County, California",66
1400000US06059062627,6059062627,"Census Tract 626.27, Orange County, California",38.3
1400000US06059062628,6059062628,"Census Tract 626.28, Orange County, California",11.1
1400000US06059062629,6059062629,"Census Tract 626.29, Orange County, California",3.9
1400000US06059062630,6059062630,"Census Tract 626.30, Orange County, California",3.7
1400000US06059062631,6059062631,"Census Tract 626.31, Orange County, California",2.5
1400000US06059062632,6059062632,"Census Tract 626.32, Orange County, California",4.1
1400000US06059062633,6059062633,"Census Tract 626.33, Orange County, California",4.4
1400000US06059062634,6059062634,"Census Tract 626.34, Orange County, California",3.5
1400000US06059062635,6059062635,"Census Tract 626.35, Orange County, California",3.3
1400000US06059062636,6059062636,"Census Tract 626.36, Orange County, California",3.4
1400000US06059062637,6059062637,"Census Tract 626.37, Orange County, California",6.2
1400000US06059062638,6059062638,"Census Tract 626.38, Orange County, California",4.9
1400000US06059062639,6059062639,"Census Tract 626.39, Orange County, California",4
1400000US06059062640,6059062640,"Census Tract 626.40, Orange County, California",9.5
1400000US06059062641,6059062641,"Census Tract 626.41, Orange County, California",3.8
1400000US06059062642,6059062642,"Census Tract 626.42, Orange County, California",6.7
1400000US06059062643,6059062643,"Census Tract 626.43, Orange County, California",4.4
1400000US06059062644,6059062644,"Census Tract 626.44, Orange County, California",9.2
1400000US06059062645,6059062645,"Census Tract 626.45, Orange County, California",4
1400000US06059062646,6059062646,"Census Tract 626.46, Orange County, California",9.1
1400000US06059062647,6059062647,"Census Tract 626.47, Orange County, California",14
1400000US06059062648,6059062648,"Census Tract 626.48, Orange County, California",12.1
1400000US06059062649,6059062649,"Census Tract 626.49, Orange County, California",13.5
1400000US06059062701,6059062701,"Census Tract 627.01, Orange County, California",4.6
1400000US06059062702,6059062702,"Census Tract 627.02, Orange County, California",4.2
1400000US06059062800,6059062800,"Census Tract 628, Orange County, California",13.8
1400000US06059062900,6059062900,"Census Tract 629, Orange County, California",5.9
1400000US06059063004,6059063004,"Census Tract 630.04, Orange County, California",4.8
1400000US06059063005,6059063005,"Census Tract 630.05, Orange County, California",6.9
1400000US06059063006,6059063006,"Census Tract 630.06, Orange County, California",3.6
1400000US06059063007,6059063007,"Census Tract 630.07, Orange County, California",6.1
1400000US06059063008,6059063008,"Census Tract 630.08, Orange County, California",0
1400000US06059063009,6059063009,"Census Tract 630.09, Orange County, California",5.5
1400000US06059063010,6059063010,"Census Tract 630.10, Orange County, California",4.6
1400000US06059063101,6059063101,"Census Tract 631.01, Orange County, California",9.2
1400000US06059063102,6059063102,"Census Tract 631.02, Orange County, California",9.4
1400000US06059063103,6059063103,"Census Tract 631.03, Orange County, California",10.6
1400000US06059063201,6059063201,"Census Tract 632.01, Orange County, California",11.8
1400000US06059063202,6059063202,"Census Tract 632.02, Orange County, California",6.7
1400000US06059063301,6059063301,"Census Tract 633.01, Orange County, California",10.7
1400000US06059063302,6059063302,"Census Tract 633.02, Orange County, California",8.6
1400000US06059063400,6059063400,"Census Tract 634, Orange County, California",4.9
1400000US06059063500,6059063500,"Census Tract 635, Orange County, California",9.7
1400000US06059063601,6059063601,"Census Tract 636.01, Orange County, California",7.4
1400000US06059063603,6059063603,"Census Tract 636.03, Orange County, California",6.1
1400000US06059063604,6059063604,"Census Tract 636.04, Orange County, California",18.9
1400000US06059063605,6059063605,"Census Tract 636.05, Orange County, California",35.2
1400000US06059063701,6059063701,"Census Tract 637.01, Orange County, California",31.7
1400000US06059063702,6059063702,"Census Tract 637.02, Orange County, California",17
1400000US06059063802,6059063802,"Census Tract 638.02, Orange County, California",6.4
1400000US06059063803,6059063803,"Census Tract 638.03, Orange County, California",7.5
1400000US06059063805,6059063805,"Census Tract 638.05, Orange County, California",10.5
1400000US06059063806,6059063806,"Census Tract 638.06, Orange County, California",4.6
1400000US06059063807,6059063807,"Census Tract 638.07, Orange County, California",16.4
1400000US06059063808,6059063808,"Census Tract 638.08, Orange County, California",30.1
1400000US06059063902,6059063902,"Census Tract 639.02, Orange County, California",15.3
1400000US06059063903,6059063903,"Census Tract 639.03, Orange County, California",7.4
1400000US06059063904,6059063904,"Census Tract 639.04, Orange County, California",13
