ObjectID,datetime,PM2.5,AQI,latitude,longitude,,,,
1183,12/18/19 15:30,1.575892857,7,34.106646,-117.72357,,,,
1476,12/18/19 15:30,2.055714286,9,34.114777,-117.747759,,,,
1668,12/18/19 15:30,0.69625,3,34.101792,-117.709791,,,,
1860,12/18/19 15:30,0.0325,0,34.136145,-117.659406,,,,
32,12/18/19 15:45,5.90375,25,34.072166,-117.749625,,,,
224,12/18/19 15:45,5.456875,23,34.117691,-117.746524,,,,
416,12/18/19 15:45,1.465,6,34.104089,-117.746679,,,,
608,12/18/19 15:45,1.259375,5,34.104334,-117.743445,,,,
800,12/18/19 15:45,0.102142857,0,34.125368,-117.726098,,,,
992,12/18/19 15:45,0.064285714,0,34.142913,-117.672854,,,,
1184,12/18/19 15:45,1.217589286,5,34.106646,-117.72357,,,,
1477,12/18/19 15:45,1.746428571,7,34.114777,-117.747759,,,,
1669,12/18/19 15:45,0.717857143,3,34.101792,-117.709791,,,,
1861,12/18/19 15:45,1.271428571,5,34.136145,-117.659406,,,,
33,12/18/19 16:00,10.00642857,42,34.072166,-117.749625,,,,
225,12/18/19 16:00,5.5475,23,34.117691,-117.746524,,,,
417,12/18/19 16:00,1.63125,7,34.104089,-117.746679,,,,
609,12/18/19 16:00,1.577142857,7,34.104334,-117.743445,,,,
801,12/18/19 16:00,0.23875,1,34.125368,-117.726098,,,,
993,12/18/19 16:00,0.025,0,34.142913,-117.672854,,,,
1185,12/18/19 16:00,2.579732143,11,34.106646,-117.72357,,,,
1478,12/18/19 16:00,1.346428571,6,34.114777,-117.747759,,,,
1670,12/18/19 16:00,1.144375,5,34.101792,-117.709791,,,,
1862,12/18/19 16:00,16.81625,61,34.136145,-117.659406,,,,
34,12/18/19 16:15,11.159375,46,34.072166,-117.749625,,,,
226,12/18/19 16:15,7.841666667,33,34.117691,-117.746524,,,,
418,12/18/19 16:15,2.024285714,8,34.104089,-117.746679,,,,
610,12/18/19 16:15,2.013839286,8,34.104334,-117.743445,,,,
802,12/18/19 16:15,0.488571429,2,34.125368,-117.726098,,,,
994,12/18/19 16:15,0.05,0,34.142913,-117.672854,,,,
1186,12/18/19 16:15,3.262053571,14,34.106646,-117.72357,,,,
1479,12/18/19 16:15,2.492232143,10,34.114777,-117.747759,,,,
1671,12/18/19 16:15,1.488571429,6,34.101792,-117.709791,,,,
1863,12/18/19 16:15,5.985714286,25,34.136145,-117.659406,,,,
35,12/18/19 16:30,9.785,41,34.072166,-117.749625,,,,
227,12/18/19 16:30,4.922678571,21,34.117691,-117.746524,,,,
419,12/18/19 16:30,2.435,10,34.104089,-117.746679,,,,
611,12/18/19 16:30,1.945357143,8,34.104334,-117.743445,,,,
803,12/18/19 16:30,0.51375,2,34.125368,-117.726098,,,,
